Barcode ▲,Asset Type,Asset Age,Installation Date,Risk Score,Risk Rating,Asset Condition,Asset Repair Category,Environmental Rating,Impact Rating,Room Code,Site,Building Name,Manager Name,View
1000000,Room Air Conditioners,5,2019-02-03,85,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,5. Severe,NICB-001,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000001,Water Booster Pumps,5,2018-12-22,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,5. Severe,COP-001,Cavendish Campus,Copland,Daniel Martinez,View
1000823,Cold Rooms,4,2020-03-10,55,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000824,Expansion Vessels,10,2013-07-28,58,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000825,Air Handling Units - General,1,2022-10-30,83,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000826,Cold Rooms,12,2011-08-10,49,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000827,Chemical Dosing,5,2019-04-12,38,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000828,Sewage or Drainage Pumps Submersible,2,2021-06-27,38,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000829,Ventilating Fans - General,2,2021-06-25,33,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000830,Ventilating Fans - General,3,2020-12-27,45,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000831,Ventilating Fans - General,5,2018-11-13,49,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000832,Room Air Conditioners,10,2013-05-28,58,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000833,Room Air Conditioners,11,2013-04-03,63,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000834,Ventilating Fans - General,15,2009-01-21,45,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000835,Ventilating Fans - General,1,2022-05-14,52,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000836,Ventilating Fans - General,14,2009-08-16,57,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000837,Instantaneous Electric Water Heaters (Non Drinks Type),9,2014-07-05,72,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,4,3. Moderate,COP-036,Cavendish Campus,Copland,Daniel Martinez,View
1000838,Room Air Conditioners,9,2015-03-26,48,HIGH,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,3. Moderate,COP-037,Cavendish Campus,Copland,Daniel Martinez,View
1000839,Room Air Conditioners,1,2023-02-09,58,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000840,Room Air Conditioners,4,2020-01-24,72,MEDIUM,U (Unverified): Further investigation required.,Category U (Unverified Asset): Further investigation required to identify asset.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000841,Room Air Conditioners,9,2014-06-06,77,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000842,Pumps - General,6,2017-06-22,93,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,1,4. Significant,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000843,Packaged Chiller Units,2,2021-12-16,92,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,1,4. Significant,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000844,Instantaneous Electric Water Heaters (Non Drinks Type),8,2016-01-29,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,CAV-EXT-002,Cavendish Campus,Cavendish Extension,Daniel Martinez,View
1000845,Water to Water Heat Pump,5,2018-08-31,89,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,3. Moderate,COP-038,Cavendish Campus,Copland,Daniel Martinez,View
1000846,Secondary Hot Water Circulating Pumps,4,2019-11-15,90,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,3. Moderate,COP-038,Cavendish Campus,Copland,Daniel Martinez,View
1000847,Circulating Pumps - General,5,2018-07-15,86,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,3,4. Significant,CAV-US-011,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000848,Sewage or Drainage Pumps Submersible,8,2015-06-09,88,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,1,4. Significant,INV-011,Harrow Campus,Innovation Centre,Michael Turner,View
1000849,Retractable Fall Arrester,8,2015-12-30,82,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,3. Moderate,COP-038,Cavendish Campus,Copland,Daniel Martinez,View
1000850,Instantaneous Electric Water Heaters (Non Drinks Type),7,2017-01-27,80,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,3,3. Moderate,CAV-US-003,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000851,Instantaneous Electric Water Heaters (Non Drinks Type),11,2013-01-17,73,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,3,3. Moderate,CAV-US-003,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000852,Instantaneous Electric Water Heaters (Non Drinks Type),6,2017-08-11,75,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,3,3. Moderate,CAV-US-003,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000853,Secondary Hot Water Circulating Pumps,11,2012-06-28,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,COP-039,Cavendish Campus,Copland,Daniel Martinez,View
1000854,Instantaneous Electric Water Heaters (Non Drinks Type),2,2022-02-26,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,LIB-001,Cavendish Campus,Library,Daniel Martinez,View
1000855,Instantaneous Electric Water Heaters (Non Drinks Type),7,2016-09-30,59,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,LIB-001,Cavendish Campus,Library,Daniel Martinez,View
1000856,Instantaneous Electric Water Heaters (Non Drinks Type),3,2020-06-13,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,LIB-001,Cavendish Campus,Library,Daniel Martinez,View
1000857,Instantaneous Electric Water Heaters (Non Drinks Type),2,2022-01-26,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,LIB-001,Cavendish Campus,Library,Daniel Martinez,View
1000858,Instantaneous Electric Water Heaters (Non Drinks Type),9,2015-03-20,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,LIB-001,Cavendish Campus,Library,Daniel Martinez,View
1000859,Instantaneous Electric Water Heaters (Non Drinks Type),3,2020-06-07,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,LIB-001,Cavendish Campus,Library,Daniel Martinez,View
1000860,Instantaneous Electric Water Heaters (Non Drinks Type),2,2022-04-01,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,LIB-001,Cavendish Campus,Library,Daniel Martinez,View
1000861,Instantaneous Electric Water Heaters (Non Drinks Type),8,2015-12-06,58,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,LIB-001,Cavendish Campus,Library,Daniel Martinez,View
1000862,Instantaneous Electric Water Heaters (Non Drinks Type),1,2022-05-03,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,LIB-001,Cavendish Campus,Library,Daniel Martinez,View
1000863,Instantaneous Electric Water Heaters (Non Drinks Type),4,2019-11-30,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,LIB-001,Cavendish Campus,Library,Daniel Martinez,View
1000864,Instantaneous Electric Water Heaters (Non Drinks Type),1,2022-12-17,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,LIB-001,Cavendish Campus,Library,Daniel Martinez,View
